	participant_id	session_id	dice_bet_probability	darq_probability	darq_pass	dice_hd_bet_probability	mutual_info	correlation_ratio	norm_mi	correlation_coef	cr_l1
0	sub-OASIS10002	ses-M00	0.8926426844742698	0.8916364312171936	True	0.909562521345764	0.8533593200758846	0.7847765704198967	0.20118209559320954	0.6140392010330472	0.6578465982630672
1	sub-OASIS10010	ses-M00	0.811731286354866	0.000141441298183	False	0.8299690019919682	0.7254139569874448	0.6766012425829522	0.1741842709878585	0.440903722796693	0.5621014381016282
2	sub-OASIS10011	ses-M00	0.9305677876404712	0.9999741315841676	True	0.9405499268124922	0.8728208525025493	0.8159279924124078	0.20732424238011715	0.6240867125223121	0.6902325300176829
3	sub-OASIS10037	ses-M00	0.9230336101996776	0.670436680316925	True	0.9128021155674212	0.760603267252298	0.7152034276235142	0.18211807659167634	0.5447207433227657	0.6028451695738215
4	sub-OASIS10042	ses-M00	0.893139619813954	0.999504804611206	True	0.9225100497349958	0.7154123451842267	0.7272557386442684	0.17617679187434754	0.60275404491141	0.6089401119621055
5	sub-OASIS10045	ses-M00	0.9522835632646208	0.9449698328971864	True	0.9409482525223212	0.7981154410499968	0.778745788242575	0.19384492642906626	0.640225403520681	0.6620776417189134
6	sub-OASIS10051	ses-M00	0.921023787296308	0.9235605597496032	True	0.9308536089829632	0.7922382229091346	0.7657281233947701	0.1924957951497377	0.603524439305013	0.6495658972718663
7	sub-OASIS10060	ses-M00	0.9336975594422952	0.9999817609786988	True	0.9429578089983108	0.8199344510405523	0.7825745271732449	0.1979780619659257	0.6389884707412633	0.6545458535450422
8	sub-OASIS10062	ses-M00	0.9241837128521806	0.9999728202819824	True	0.9434963789946704	0.8716665347932356	0.7847886198868163	0.20423634618727515	0.6375201108166183	0.6584108237031102
9	sub-OASIS10063	ses-M00	0.9355295328786514	0.9999701976776124	True	0.9400210724145004	0.7781750931829218	0.7754692524719982	0.1919188561367069	0.6611966720694098	0.6597191716114035
10	sub-OASIS10071	ses-M00	0.9409552443558034	0.9995445609092712	True	0.9452051970794036	0.8924677093998711	0.8399891402069026	0.21235317594919612	0.686987959721469	0.7088557241369993
11	sub-OASIS10081	ses-M00	0.955194138228928	0.505261242389679	True	0.9506557648063704	0.8443922302998155	0.8136797087573368	0.20045707615695751	0.703457522938001	0.6832173874653102
12	sub-OASIS10084	ses-M00	0.8940478423410588	0.0144995115697383	False	0.9126225077097936	0.7791247167319834	0.7374605136936201	0.18432532203731977	0.4922035616230544	0.6181467744831786
13	sub-OASIS10103	ses-M00	0.9397151021854608	0.9999769926071168	True	0.9536347575673916	0.8754680398677713	0.8205342904751715	0.20821381734384548	0.6850106355843572	0.695959521809226
14	sub-OASIS10110	ses-M00	0.8258739714289235	0.0004993372131139	False	0.8266624443181696	0.7464725273275696	0.6770046499754223	0.17982158783758373	0.3866911699274541	0.5607981394802002
15	sub-OASIS10112	ses-M00	0.9349982503601372	0.9999704360961914	True	0.9335201576119946	0.7800483216376441	0.7652581868318005	0.18780133370132712	0.5833628252400842	0.6457283097848794
16	sub-OASIS10114	ses-M00	0.814434318355915	0.0019861573819071	False	0.8173901800659041	0.7237932919662452	0.6970665411217416	0.17720588200584886	0.5061637436335846	0.5756174727594157
17	sub-OASIS10117	ses-M00	0.946328613123431	0.9999780654907228	True	0.950309160741515	0.7624654060754738	0.786396821285714	0.18717352239996665	0.7105277216649649	0.6632326337222672
18	sub-OASIS10126	ses-M00	0.945771011028349	0.9999717473983764	True	0.9570718317544205	0.8342685258400319	0.8004969346949518	0.2016204864806419	0.7089742076734467	0.6728297096931903
19	sub-OASIS10136	ses-M00	0.9391027184707496	0.9995152950286864	True	0.945110915500702	0.8753761042858375	0.8299027924351657	0.2084292874682352	0.6829877763819543	0.7031701623915358
20	sub-OASIS10142	ses-M00	0.8925336932169828	0.9999749660491944	True	0.930092105158208	0.783700906862732	0.7629644692057759	0.1894083346763209	0.6553079747143912	0.6361681971831928
21	sub-OASIS10150	ses-M00	0.9322608913808292	0.9995594620704652	True	0.9453276823187092	0.8375520847575738	0.7866954023983097	0.1987901304060682	0.6649503721881531	0.6642433326432611
22	sub-OASIS10151	ses-M00	0.9405761080545532	0.9996283054351808	True	0.9501423604248878	0.8773731287929879	0.8306915668781918	0.20690063488338573	0.7278950973928102	0.7010395575374618
23	sub-OASIS10155	ses-M00	0.897778114884739	0.9217106103897096	True	0.9080427044810724	0.7818401086674512	0.732872834020964	0.1875858323259767	0.48583515571669056	0.6181476807654365
24	sub-OASIS10156	ses-M00	0.943098547620527	0.9995169639587402	True	0.9444630852729606	0.8377048109335827	0.8045656043399949	0.20210777321547924	0.674514152223678	0.6828715760494424
25	sub-OASIS10162	ses-M00	0.8473351462854098	0.0009466715273447	False	0.848852547610521	0.7454191371415536	0.6845334446308137	0.1785438388083478	0.42417323635121457	0.5749958925993326
26	sub-OASIS10167	ses-M00	0.919834251684678	0.5511311292648315	True	0.9157410255995078	0.7739280580841699	0.7251466417894711	0.18513279896920642	0.5153176634368292	0.6200831759962555
27	sub-OASIS10179	ses-M00	0.7908291091745248	0.0044502969831228	False	0.7861266401437531	0.7921418081221965	0.6683552549450387	0.18566885593619387	0.2942687379762361	0.5567478993348223
28	sub-OASIS10180	ses-M00	0.8783856460045609	0.0296701993793249	False	0.916616223745273	0.8471322933903082	0.7242207705194845	0.19280906255918628	0.47653206021239947	0.6016757417887879
